date,total_tests,proportion_positive,test_type
2021-04-01,65,0.0307692307692308,Snabbtester (Antigen)
2021-04-01,64,0.078125,PCR
2021-04-02,46,0.108695652173913,Snabbtester (Antigen)
2021-04-02,36,0.194444444444444,PCR
2021-04-03,42,0.0238095238095238,Snabbtester (Antigen)
2021-04-03,32,0.0625,PCR
2021-04-04,42,0.119047619047619,Snabbtester (Antigen)
2021-04-04,30,0.1,PCR
2021-04-05,67,0.0895522388059701,Snabbtester (Antigen)
2021-04-05,48,0.145833333333333,PCR
2021-04-06,118,0.0254237288135593,Snabbtester (Antigen)
2021-04-06,106,0.122641509433962,PCR
2021-04-07,74,0.0675675675675676,Snabbtester (Antigen)
2021-04-07,79,0.164556962025316,PCR
2021-04-08,85,0.0588235294117647,Snabbtester (Antigen)
2021-04-08,96,0.135416666666667,PCR
2021-04-09,93,0.010752688172043,Snabbtester (Antigen)
2021-04-09,94,0.117021276595745,PCR
2021-04-10,27,0.037037037037037,Snabbtester (Antigen)
2021-04-10,24,0,PCR
2021-04-11,39,0.102564102564103,Snabbtester (Antigen)
2021-04-11,26,0.0384615384615385,PCR
2021-04-12,127,0.0393700787401575,Snabbtester (Antigen)
2021-04-12,92,0.130434782608696,PCR
2021-04-13,76,0.0263157894736842,Snabbtester (Antigen)
2021-04-13,87,0.114942528735632,PCR
2021-04-14,69,0.0434782608695652,Snabbtester (Antigen)
2021-04-14,79,0.139240506329114,PCR
2021-04-15,83,0,Snabbtester (Antigen)
2021-04-15,85,0.0352941176470588,PCR
2021-04-16,82,0.024390243902439,Snabbtester (Antigen)
2021-04-16,87,0.137931034482759,PCR
2021-04-17,41,0.121951219512195,Snabbtester (Antigen)
2021-04-17,30,0.0666666666666667,PCR
2021-04-18,33,0,Snabbtester (Antigen)
2021-04-18,25,0.08,PCR
2021-04-19,119,0,Snabbtester (Antigen)
2021-04-19,87,0.149425287356322,PCR
2021-04-20,83,0.0120481927710843,Snabbtester (Antigen)
2021-04-20,61,0.0655737704918033,PCR
2021-04-21,71,0.028169014084507,Snabbtester (Antigen)
2021-04-21,89,0.0898876404494382,PCR
2021-04-22,91,0.032967032967033,Snabbtester (Antigen)
2021-04-22,59,0.0847457627118644,PCR
2021-04-23,69,0.0289855072463768,Snabbtester (Antigen)
2021-04-23,71,0.126760563380282,PCR
2021-04-24,39,0.0256410256410256,Snabbtester (Antigen)
2021-04-24,35,0.0571428571428571,PCR
2021-04-25,50,0.02,Snabbtester (Antigen)
2021-04-25,21,0.142857142857143,PCR
2021-04-26,111,0,Snabbtester (Antigen)
2021-04-26,94,0.127659574468085,PCR
2021-04-27,88,0.0340909090909091,Snabbtester (Antigen)
2021-04-27,77,0.025974025974026,PCR
2021-04-28,77,0.025974025974026,Snabbtester (Antigen)
2021-04-28,61,0.0655737704918033,PCR
2021-04-29,84,0.0357142857142857,Snabbtester (Antigen)
2021-04-29,67,0.0895522388059701,PCR
2021-04-30,60,0.0833333333333333,Snabbtester (Antigen)
2021-04-30,75,0.0666666666666667,PCR
2021-05-01,37,0.0540540540540541,Snabbtester (Antigen)
2021-05-01,32,0.1875,PCR
2021-05-02,40,0.05,Snabbtester (Antigen)
2021-05-02,31,0.0967741935483871,PCR
2021-05-03,132,0.0378787878787879,Snabbtester (Antigen)
2021-05-03,92,0.0869565217391304,PCR
2021-05-04,77,0.012987012987013,Snabbtester (Antigen)
2021-05-04,65,0.107692307692308,PCR
2021-05-05,85,0.0235294117647059,Snabbtester (Antigen)
2021-05-05,82,0.121951219512195,PCR
2021-05-06,85,0.0352941176470588,Snabbtester (Antigen)
2021-05-06,64,0.0625,PCR
2021-05-07,76,0.0657894736842105,Snabbtester (Antigen)
2021-05-07,107,0.0560747663551402,PCR
2021-05-08,49,0.0612244897959184,Snabbtester (Antigen)
2021-05-08,32,0.1875,PCR
2021-05-09,51,0.0392156862745098,Snabbtester (Antigen)
2021-05-09,34,0.0588235294117647,PCR
2021-05-10,133,0.0225563909774436,Snabbtester (Antigen)
2021-05-10,90,0.133333333333333,PCR
2021-05-11,91,0.010989010989011,Snabbtester (Antigen)
2021-05-11,84,0.0833333333333333,PCR
