Lan,Datum,Uppskattning,Low_CI,High_CI
Skåne,2020-05-11,0.46,0.36,0.57
Dalarna,2020-05-11,0.82,0.36,1.73
Kronoberg,2020-05-11,0.47,0.15,1.16
Stockholm,2020-05-11,0.81,0.67,0.98
Norrbotten,2020-05-11,0.76,0.31,1.7
Västmanland,2020-05-11,0.61,0.23,1.43
Kalmar,2020-05-11,0.58,0.2,1.4
Västra Götaland,2020-05-11,0.61,0.46,0.8
Jönköping,2020-05-11,0.58,0.28,1.1
Örebro,2020-05-11,0.79,0.35,1.65
Östergötland,2020-05-11,0.69,0.36,1.23
Uppsala,2020-05-11,0.73,0.41,1.24
Gävleborg,2020-05-11,0.85,0.39,1.69
Södermanland,2020-05-11,0.77,0.31,1.7
Halland,2020-05-11,0.56,0.26,1.12
Jämtland,2020-05-11,0.76,0.2,2.14
Västerbotten,2020-05-11,0.7,0.29,1.49
Västernorrland,2020-05-11,0.55,0.2,1.38
Blekinge,2020-05-11,0.51,0.15,1.39
Värmland,2020-05-11,0.55,0.21,1.25
Gotland,2020-05-11,0.5,0.04,3.68
Skåne,2020-05-12,0.48,0.39,0.59
Dalarna,2020-05-12,0.83,0.39,1.63
Kronoberg,2020-05-12,0.46,0.15,1.13
Västra Götaland,2020-05-12,0.67,0.52,0.85
Stockholm,2020-05-12,0.86,0.72,1.02
Norrbotten,2020-05-12,0.81,0.36,1.68
Västmanland,2020-05-12,0.6,0.24,1.33
Kalmar,2020-05-12,0.62,0.25,1.38
Jönköping,2020-05-12,0.59,0.3,1.08
Örebro,2020-05-12,0.81,0.38,1.61
Östergötland,2020-05-12,0.7,0.37,1.22
Uppsala,2020-05-12,0.73,0.42,1.2
Gävleborg,2020-05-12,0.74,0.34,1.49
Södermanland,2020-05-12,0.82,0.38,1.65
Halland,2020-05-12,0.58,0.28,1.12
Jämtland,2020-05-12,0.87,0.3,2.16
Västerbotten,2020-05-12,0.68,0.29,1.41
Västernorrland,2020-05-12,0.58,0.23,1.34
Blekinge,2020-05-12,0.5,0.16,1.28
Gotland,2020-05-12,0.7,0.06,3.71
Värmland,2020-05-12,0.6,0.26,1.25
Skåne,2020-05-13,0.5,0.41,0.61
Dalarna,2020-05-13,0.84,0.42,1.61
Kronoberg,2020-05-13,0.54,0.21,1.2
Västerbotten,2020-05-13,0.74,0.34,1.44
Västra Götaland,2020-05-13,0.68,0.53,0.85
Stockholm,2020-05-13,0.87,0.73,1.03
Norrbotten,2020-05-13,0.8,0.35,1.64
Västmanland,2020-05-13,0.64,0.28,1.35
Kalmar,2020-05-13,0.75,0.33,1.53
Jönköping,2020-05-13,0.64,0.35,1.11
Örebro,2020-05-13,0.77,0.36,1.52
Halland,2020-05-13,0.53,0.26,1.02
Östergötland,2020-05-13,0.71,0.39,1.22
Uppsala,2020-05-13,0.77,0.46,1.25
Gävleborg,2020-05-13,0.76,0.36,1.48
Västernorrland,2020-05-13,0.58,0.24,1.31
Södermanland,2020-05-13,0.9,0.44,1.73
Jämtland,2020-05-13,0.98,0.37,2.26
Blekinge,2020-05-13,0.54,0.19,1.31
Gotland,2020-05-13,0.68,0.06,3.43
Värmland,2020-05-13,0.64,0.29,1.27
Skåne,2020-05-14,0.5,0.41,0.61
Dalarna,2020-05-14,0.87,0.44,1.61
Västra Götaland,2020-05-14,0.69,0.54,0.86
Kronoberg,2020-05-14,0.51,0.2,1.14
Västerbotten,2020-05-14,0.8,0.39,1.49
Stockholm,2020-05-14,0.87,0.74,1.03
Norrbotten,2020-05-14,0.78,0.34,1.6
Västmanland,2020-05-14,0.71,0.33,1.41
Kalmar,2020-05-14,0.68,0.3,1.43
Jönköping,2020-05-14,0.61,0.33,1.06
Örebro,2020-05-14,0.8,0.39,1.53
Halland,2020-05-14,0.51,0.25,0.98
Östergötland,2020-05-14,0.71,0.4,1.21
Uppsala,2020-05-14,0.71,0.42,1.16
Gävleborg,2020-05-14,0.8,0.4,1.53
Västernorrland,2020-05-14,0.57,0.23,1.26
Södermanland,2020-05-14,0.9,0.45,1.71
Jämtland,2020-05-14,1.03,0.41,2.31
Blekinge,2020-05-14,0.55,0.19,1.31
Gotland,2020-05-14,0.75,0.1,3.25
Värmland,2020-05-14,0.72,0.35,1.36
Skåne,2020-05-15,0.51,0.41,0.61
Dalarna,2020-05-15,0.91,0.47,1.65
Västra Götaland,2020-05-15,0.67,0.53,0.84
Kronoberg,2020-05-15,0.49,0.19,1.1
Västerbotten,2020-05-15,0.78,0.39,1.46
Stockholm,2020-05-15,0.86,0.73,1.01
Norrbotten,2020-05-15,0.77,0.35,1.57
Västmanland,2020-05-15,0.66,0.3,1.34
Kalmar,2020-05-15,0.67,0.3,1.4
Jönköping,2020-05-15,0.61,0.33,1.05
Örebro,2020-05-15,0.83,0.42,1.56
Halland,2020-05-15,0.57,0.29,1.05
Östergötland,2020-05-15,0.68,0.38,1.16
Uppsala,2020-05-15,0.75,0.45,1.19
Gävleborg,2020-05-15,0.78,0.39,1.47
Västernorrland,2020-05-15,0.55,0.23,1.21
Södermanland,2020-05-15,0.81,0.38,1.59
Jämtland,2020-05-15,1,0.4,2.24
Värmland,2020-05-15,0.75,0.38,1.4
Blekinge,2020-05-15,0.52,0.19,1.26
Gotland,2020-05-15,0.72,0.1,3.03
Skåne,2020-05-16,0.5,0.4,0.6
Dalarna,2020-05-16,0.85,0.45,1.56
Västra Götaland,2020-05-16,0.69,0.55,0.86
Kronoberg,2020-05-16,0.51,0.2,1.12
Västerbotten,2020-05-16,0.7,0.33,1.35
Stockholm,2020-05-16,0.84,0.71,0.99
Norrbotten,2020-05-16,0.77,0.35,1.56
Västmanland,2020-05-16,0.68,0.32,1.37
Kalmar,2020-05-16,0.68,0.3,1.39
Jönköping,2020-05-16,0.62,0.35,1.06
Örebro,2020-05-16,0.85,0.43,1.57
Halland,2020-05-16,0.5,0.25,0.95
Östergötland,2020-05-16,0.66,0.36,1.13
Uppsala,2020-05-16,0.75,0.45,1.19
Gävleborg,2020-05-16,0.72,0.35,1.39
Västernorrland,2020-05-16,0.62,0.27,1.3
Södermanland,2020-05-16,0.76,0.36,1.52
Jämtland,2020-05-16,1.05,0.44,2.27
Värmland,2020-05-16,0.72,0.36,1.35
Blekinge,2020-05-16,0.54,0.2,1.26
Gotland,2020-05-16,0.73,0.11,3.05
Skåne,2020-05-17,0.5,0.41,0.61
Dalarna,2020-05-17,0.79,0.4,1.49
Västra Götaland,2020-05-17,0.69,0.55,0.86
Kronoberg,2020-05-17,0.54,0.22,1.15
Västerbotten,2020-05-17,0.75,0.36,1.42
Stockholm,2020-05-17,0.83,0.7,0.98
Norrbotten,2020-05-17,0.82,0.39,1.61
Västmanland,2020-05-17,0.75,0.36,1.44
Kalmar,2020-05-17,0.63,0.27,1.33
Jönköping,2020-05-17,0.65,0.36,1.1
Halland,2020-05-17,0.47,0.23,0.91
Östergötland,2020-05-17,0.7,0.39,1.18
Uppsala,2020-05-17,0.74,0.45,1.18
Gävleborg,2020-05-17,0.75,0.38,1.43
Västernorrland,2020-05-17,0.67,0.31,1.37
Örebro,2020-05-17,0.82,0.41,1.54
Södermanland,2020-05-17,0.79,0.38,1.56
Jämtland,2020-05-17,1.09,0.47,2.31
Värmland,2020-05-17,0.63,0.29,1.24
Blekinge,2020-05-17,0.49,0.17,1.21
Gotland,2020-05-17,0.5,0.05,2.66
Skåne,2020-05-18,0.49,0.4,0.6
Dalarna,2020-05-18,0.83,0.43,1.53
Västra Götaland,2020-05-18,0.69,0.55,0.86
Kronoberg,2020-05-18,0.5,0.2,1.11
Västerbotten,2020-05-18,0.66,0.3,1.3
Stockholm,2020-05-18,0.85,0.72,1
Norrbotten,2020-05-18,0.74,0.34,1.49
Västmanland,2020-05-18,0.76,0.38,1.46
Kalmar,2020-05-18,0.64,0.28,1.33
Jönköping,2020-05-18,0.65,0.36,1.1
Halland,2020-05-18,0.45,0.22,0.87
Östergötland,2020-05-18,0.76,0.43,1.26
Uppsala,2020-05-18,0.7,0.43,1.12
Gävleborg,2020-05-18,0.79,0.41,1.47
Västernorrland,2020-05-18,0.65,0.29,1.35
Örebro,2020-05-18,0.82,0.41,1.54
Södermanland,2020-05-18,0.74,0.34,1.5
Jämtland,2020-05-18,0.93,0.37,2.1
Värmland,2020-05-18,0.56,0.24,1.14
Blekinge,2020-05-18,0.41,0.13,1.09
Gotland,2020-05-18,0.49,0.04,2.66
Skåne,2020-05-19,0.47,0.38,0.58
Dalarna,2020-05-19,0.83,0.44,1.52
