Postnummer,Datum,Uppskattning,Low_CI,High_CI
21,2020-05-11,0.47,0.28,0.77
23,2020-05-11,0.42,0.19,0.82
25,2020-05-11,0.43,0.16,1
77,2020-05-11,0.92,0.11,4.21
36,2020-05-11,,,
26,2020-05-11,0.45,0.19,0.93
29,2020-05-11,0.56,0.17,1.5
19,2020-05-11,0.98,0.46,1.93
97,2020-05-11,0.79,0.13,3.09
72,2020-05-11,0.58,0.15,1.76
27,2020-05-11,0.46,0.14,1.29
59,2020-05-11,0.58,0.09,2.21
53,2020-05-11,0.75,0.15,2.42
79,2020-05-11,0.71,0.18,2.11
46,2020-05-11,0.51,0.1,1.76
11,2020-05-11,0.84,0.56,1.23
28,2020-05-11,0.55,0.13,1.66
55,2020-05-11,0.59,0.09,2.07
70,2020-05-11,0.68,0.16,2.06
41,2020-05-11,0.61,0.35,1.03
12,2020-05-11,0.79,0.47,1.26
22,2020-05-11,0.42,0.22,0.73
16,2020-05-11,0.8,0.41,1.48
60,2020-05-11,0.85,0.2,2.59
75,2020-05-11,0.75,0.36,1.44
13,2020-05-11,0.9,0.48,1.58
81,2020-05-11,0.88,0.19,3.07
71,2020-05-11,0.91,0.12,4.14
73,2020-05-11,0.66,0.11,2.52
57,2020-05-11,0.53,0.15,1.48
43,2020-05-11,0.61,0.31,1.13
18,2020-05-11,0.63,0.31,1.23
24,2020-05-11,0.52,0.27,0.95
54,2020-05-11,0.48,0.09,1.69
64,2020-05-11,0.73,0.15,2.52
14,2020-05-11,0.9,0.4,1.92
74,2020-05-11,0.68,0.2,1.92
78,2020-05-11,1.03,0.18,3.95
35,2020-05-11,0.43,0.06,1.65
82,2020-05-11,0.9,0.22,2.66
42,2020-05-11,0.66,0.28,1.42
84,2020-05-11,,,
34,2020-05-11,0.56,0.07,2.36
93,2020-05-11,0.63,0.06,3.43
63,2020-05-11,0.92,0.13,3.6
90,2020-05-11,0.8,0.26,2.04
44,2020-05-11,0.59,0.23,1.32
30,2020-05-11,0.64,0.12,2.14
58,2020-05-11,0.73,0.26,1.69
38,2020-05-11,0.71,0.11,2.82
15,2020-05-11,1.11,0.27,3.47
85,2020-05-11,0.42,0.03,2.77
56,2020-05-11,0.48,0.06,2.06
52,2020-05-11,0.59,0.12,2.01
83,2020-05-11,0.77,0.19,2.31
47,2020-05-11,0.78,0.08,5.51
17,2020-05-11,0.7,0.29,1.5
80,2020-05-11,0.77,0.18,2.38
37,2020-05-11,0.5,0.12,1.53
45,2020-05-11,0.58,0.13,1.99
39,2020-05-11,0.66,0.07,2.75
65,2020-05-11,0.6,0.12,1.97
66,2020-05-11,0.5,0.04,2.41
62,2020-05-11,0.5,0.04,3.68
31,2020-05-11,0.49,0.07,2.08
87,2020-05-11,,,
51,2020-05-11,0.58,0.09,2.33
91,2020-05-11,,,
68,2020-05-11,0.67,0.07,3.48
33,2020-05-11,0.52,0.06,2.25
69,2020-05-11,0.96,0.18,3.53
94,2020-05-11,0.65,0.04,3.91
76,2020-05-11,0.63,0.02,6.07
61,2020-05-11,0.68,0.14,2.32
50,2020-05-11,0.7,0.12,2.5
86,2020-05-11,0.71,0.05,3.85
96,2020-05-11,,,
95,2020-05-11,,,
89,2020-05-11,0.38,0.01,3.26
67,2020-05-11,,,
88,2020-05-11,,,
98,2020-05-11,,,
92,2020-05-11,,,
20,2020-05-11,,,
10,2020-05-11,,,
21,2020-05-12,0.5,0.31,0.79
23,2020-05-12,0.47,0.24,0.87
25,2020-05-12,0.44,0.17,0.97
77,2020-05-12,1.04,0.19,3.83
36,2020-05-12,0.43,0.01,3.33
26,2020-05-12,0.43,0.2,0.88
52,2020-05-12,0.62,0.15,1.94
29,2020-05-12,0.55,0.19,1.4
43,2020-05-12,0.68,0.37,1.18
19,2020-05-12,1,0.5,1.89
97,2020-05-12,0.93,0.21,3.09
72,2020-05-12,0.56,0.16,1.6
27,2020-05-12,0.5,0.16,1.28
59,2020-05-12,0.65,0.14,2.17
53,2020-05-12,0.72,0.16,2.19
79,2020-05-12,0.67,0.19,1.88
46,2020-05-12,0.56,0.14,1.72
11,2020-05-12,0.88,0.6,1.24
28,2020-05-12,0.54,0.15,1.54
55,2020-05-12,0.66,0.13,2.09
70,2020-05-12,0.85,0.27,2.15
41,2020-05-12,0.66,0.39,1.05
45,2020-05-12,0.61,0.16,1.9
12,2020-05-12,0.82,0.51,1.27
22,2020-05-12,0.47,0.27,0.79
16,2020-05-12,0.84,0.45,1.48
60,2020-05-12,0.84,0.21,2.49
75,2020-05-12,0.75,0.37,1.4
13,2020-05-12,0.99,0.57,1.65
81,2020-05-12,0.92,0.22,2.96
71,2020-05-12,0.74,0.1,3.74
73,2020-05-12,0.67,0.14,2.27
57,2020-05-12,0.55,0.17,1.44
18,2020-05-12,0.71,0.38,1.28
24,2020-05-12,0.51,0.27,0.9
54,2020-05-12,0.53,0.12,1.6
64,2020-05-12,0.98,0.29,2.7
14,2020-05-12,0.87,0.4,1.8
